bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
5,6.405741067218952,5,200,0,28.86,6.200241930763669,5.24
5,42.39632933469429,1,100,20,224.5,55.95533933415113,5.25
20,24.882119180446523,5,200,20,72.575,25.87397340958671,21.0
20,32.38956016397381,2,200,0,96.04,30.152081188534897,21.0
50,14.368591951022271,0,100,0,43.56,10.79759232421747,52.4
5,26.518500247671195,5,100,0,111.24,33.014663408855164,5.25
50,40.26285002404716,2,100,0,325.02,474.5969995691081,52.3
5,20.277117885729318,0,100,0,75.52,28.73911968032424,5.25
5,13.024790059254462,1,200,0,62.96,20.117852768126127,5.25
50,17.979188199448956,5,100,0,57.64,20.311523822697303,52.4
10,44.82276729944071,0,50,0,158.0,65.06919393998976,10.5
50,10.75894696018196,5,200,20,31.35,7.659634456029868,52.3
20,22.24078065843209,1,50,20,78.55,24.726975822638185,20.9
5,5.868243967402921,0,50,0,36.44,18.806727519693588,5.25
5,45.288638944497315,1,200,0,124.44,60.77658266141656,5.25
20,8.255248423125257,1,50,0,23.02,6.899057906700016,21.0
10,42.170696220295646,0,100,0,112.6,34.59934970487162,10.5
50,11.819219739679536,2,50,0,36.199999999999996,9.400265953684501,52.4
5,49.97687625923723,1,100,0,162.4,68.92242015483787,5.25
5,44.118383085926176,5,200,20,124.4,53.18119968560318,5.25
50,25.900304758975416,0,200,0,71.9,21.853146226573415,52.4
5,39.484242212548885,5,50,0,168.62,83.32965858564404,5.24
20,11.188499491169857,0,50,0,32.5,8.989716347026752,20.9
50,36.101778161711074,2,50,0,100.36,27.28265016452764,52.4
5,39.47742445083602,1,100,0,97.6,37.699933686944334,5.24
20,26.20945679912988,1,100,0,105.9,67.65009238722442,20.9
50,21.534775061469418,0,50,0,62.42,16.21980271150053,52.2
10,36.097195051304276,5,200,20,114.6,38.718471044192846,10.2
50,27.642608816855144,2,50,0,77.52,23.20532266528522,52.4
5,17.678539207716813,5,200,0,52.82,19.62923839582168,5.25
10,20.13727356838326,1,200,0,87.9,59.249008430521435,10.5
10,24.852038419046977,5,100,0,86.64,16.32522587898863,10.5
5,10.002821942396965,1,100,0,46.76,20.947744508657728,5.25
50,39.10586231278255,0,100,0,104.62,44.47630830003767,52.2
5,38.1732308569707,2,200,0,346.54,499.2027724281987,5.24
5,47.82091298023351,1,50,20,141.25,61.42407237123461,5.24
5,23.23033115634074,5,50,20,74.225,26.624096228792443,5.25
20,41.68986077977197,2,200,0,115.3,47.108704078970376,21.0
10,46.25966094495866,0,200,0,112.60000000000001,41.60174275195692,10.5
5,19.523006268603755,5,100,0,90.78,45.87474250608933,5.25
5,41.29528851438149,0,100,0,193.98,186.42264347444493,5.24
5,48.14806536707969,1,200,0,134.3,54.616389481546655,5.24
10,30.752689217771895,1,100,0,92.28,27.642756736620896,10.5
20,30.255734760171737,2,100,0,87.28,22.928519359086405,21.0
50,28.74742154774498,2,200,0,303.18,482.20349127728224,52.3
20,34.85718566836631,5,50,20,108.05,33.56004568928157,21.0
20,40.60355737845972,0,200,0,121.18,33.60300581793241,20.9
50,29.18268354202959,0,100,0,73.68,26.59007333573941,52.4
20,31.750707228536363,0,200,0,100.32,24.239781352149194,20.7
5,47.22143938472814,0,100,0,131.62,49.518905480634366,5.25
10,15.049845672988003,1,100,0,51.059999999999995,21.779990817261606,10.5
50,43.43927030062034,1,100,20,99.225,13.541633333292307,52.1
50,31.223799642720163,1,50,0,89.48,30.55154660569576,52.4
10,19.074977699919504,2,100,0,96.24,45.33589085922984,10.5
50,14.811110085385174,2,100,20,42.925,15.462292844206514,51.6
10,22.57294484612596,0,100,0,73.08,32.57041602436174,10.5
10,45.47189583987345,1,200,0,139.0,37.19542982679458,10.5
20,48.75233629610067,5,50,20,137.75,53.287740929160556,21.0
5,10.513114118730751,0,50,0,36.42,12.476457830650492,5.25
20,37.6009641938848,1,50,0,100.2,37.13159032414313,20.9
20,20.617929424360184,2,100,0,80.44,23.026897315965083,21.0
20,23.057490702839242,1,100,0,63.42,24.70479710501586,20.9
10,27.667851040997967,2,200,0,87.4,23.45133258473812,10.5
10,12.109090557139396,5,100,0,252.62,470.008709493771,10.5
5,47.32849846481095,1,50,0,130.38,44.373663360150914,5.24
5,30.42903716288819,5,100,0,106.26,65.80686134439173,5.24
20,28.9862236102622,5,100,0,78.3,29.66116990275333,21.0
20,11.636803680735884,0,50,0,35.08,9.226429428549269,21.0
10,32.40337250962916,2,50,20,95.15,37.43354110954506,10.5
10,25.92044128885376,0,200,0,81.02,30.763159785691716,10.5
10,46.68828845465381,2,200,0,134.28,44.369944782476345,10.5
10,49.11275887105659,5,100,0,142.6,49.333558558044444,10.5
20,45.875391079779455,1,50,0,122.86,54.60254572819843,20.9
20,7.504854859341247,1,100,0,30.240000000000002,19.97556006724217,20.9
50,41.29077613007803,5,200,0,111.72,35.70976057046589,52.4
20,41.536260689792925,5,100,0,122.44,33.59327313615034,20.9
20,44.51817378823236,1,200,20,125.9,52.325774401022166,20.3
50,46.41802985622814,1,100,0,121.42,46.782282971227474,52.4
50,42.35383309968596,5,50,0,353.32,489.9421516873191,52.2
20,22.092080999551158,1,200,0,303.16,502.05321231917236,20.9
5,26.543557656011725,0,200,0,118.78,41.16481507306938,5.25
20,37.33451243321119,0,50,0,138.1,55.21793187000035,21.0
5,8.98430572455163,0,200,0,53.879999999999995,19.945851699037572,5.25
5,31.89482659354251,0,100,0,124.26,34.20172510269036,5.25
20,17.210258988668194,0,100,0,79.32000000000001,62.703484751646776,21.0
50,30.24833567795662,1,100,0,87.32000000000001,27.230534331885593,52.4
50,16.343812940939415,0,100,0,59.660000000000004,30.139061033814574,52.3
5,41.81608147387341,0,200,0,168.18,78.55928971165663,5.25
20,35.07478001013096,0,100,0,94.42,35.556884002960665,20.9
50,5.256913076528434,5,100,20,18.275,5.041411839289995,52.3
5,29.04015752511894,1,50,0,133.26,77.25518105603015,5.25
50,10.97396930805159,1,100,0,48.56,19.95251863800658,52.4
10,6.675945929147763,1,100,0,240.24,458.0969580776541,10.5
